id,latin,family,common,space,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
0,Aeschynanthus lobianus,Gesneriaceae,Abelia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Ajuga,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Alchemilla,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Allium ornamental,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Amsonia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Artemisia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Aster perennial,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Astilbe,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Aubrieta,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Bergenia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Brunnera,medium,Java,Tropical,low,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Campanula,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Canna,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Carex grass,medium,Java,Tropical,medium,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Ceanothus,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Clematis,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Coreopsis tall,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Crocosmia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
